isr_db_id	source	CORE_otu	genus_group	family	order	class	phylum
12892.M	Granulicatella_adiacens_meta_285	Granulicatella adiacens	Granulicatella	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes
13249.M	Prevotella_nigrescens_meta_287_0	Prevotella nigrescens	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
13818.M	Gemella_sanguinis_meta_284	Gemella sanguinis	Gemella	Staphylococcaceae	Bacillales	Bacilli	Firmicutes
14495.M	Prevotella_nigrescens_meta_287	Prevotella nigrescens	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
AE009951.A	Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586_322	Fusobacterium nucleatum subsp nucleatum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteria	Fusobacteria
AE009951.B	Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586_146	Fusobacterium nucleatum subsp nucleatum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteria	Fusobacteria
AE014133	Streptococcus_mutans_UA159_397	Streptococcus mutans	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
AE015924	Porphyromonas_gingivalis_W83_774	Porphyromonas gingivalis	Porphyromonas	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes
AJJQ01000002	Rothia_aeria_F0474_328	Rothia aeria	Rothia	Micrococcaceae	Actinomycetales	Actinobacteridae	Actinobacteria
AP012326	Bifidobacterium_dentium_DSM_20436	Bifidobacterium dentium	NULL	NULL	NULL	NULL	NULL
AP012333	Parascardovia_denticolens_JCM_12538_410	Parascardovia denticolens	NULL	NULL	NULL	NULL	NULL
AP012334	Scardovia_inopinata_JCM_12537_389	Scardovia inopinata	NULL	NULL	NULL	NULL	NULL
AP014938	Rothia_mucilaginosa_NUM-Rm6536_314	Rothia mucilaginosa	Rothia	Micrococcaceae	Actinomycetales	Actinobacteridae	Actinobacteria
CAUB01000070	Streptococcus_agalactiae_SS1218	Streptococcus agalactiae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
CP001685.B	Leptotrichia_buccalis_DSM_1135_290	Leptotrichia buccalis	Leptotrichia	Fusobacteriaceae	Fusobacteriales	Fusobacteria	Fusobacteria
CP002122.A	Prevotella_melaninogenica_ATCC_25845_423	Prevotella melaninogenica	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
CP002122.B	Prevotella_melaninogenica_ATCC_25845_676	Prevotella melaninogenica	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
CP002280	Rothia_dentocariosa_ATCC_17931_350	Rothia dentocariosa	Rothia	Micrococcaceae	Actinomycetales	Actinobacteridae	Actinobacteria
CP003502	Prevotella_intermedia_17_521	Prevotella intermedia	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
CP007502.A	Aggregatibacter_actinomycetemcomitans_HK1651_390	Aggregatibacter actinomycetemcomitans	Aggregatibacter	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria
CP007502.B	Aggregatibacter_actinomycetemcomitans_HK1651_577	Aggregatibacter actinomycetemcomitans	Aggregatibacter	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria
CP007726	Neisseria_elongata_ATCC_29315_622	Neisseria elongata	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria
CP009761.A	Parvimonas_micra_KCOM_1535_415	Parvimonas micra	Parvimonas	Clostridiales Family XI. Incertae Sedis	Clostridiales	Clostridia	Firmicutes
CP009761.B	Parvimonas_micra_KCOM_1535_184	Parvimonas micra	Parvimonas	Clostridiales Family XI. Incertae Sedis	Clostridiales	Clostridia	Firmicutes
CP010350.A	Acinetobacter_johnsonii_XBB1_723	Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
CP010350.B	Acinetobacter_johnsonii_XBB1_726	Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
CP010350.C	Acinetobacter_johnsonii_XBB1_737	Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
CP010350.D	Acinetobacter_johnsonii_XBB1_638	Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
CP010350.E	Acinetobacter_johnsonii_XBB1_725	Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
CP012072	Actinomyces_meyeri_W712_406	Actinomyces meyeri	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteridae	Actinobacteria
CP012196	Campylobacter_gracilis_ATCC_33236_786	Campylobacter gracilis	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria
CP012392	Neisseria_meningitidis_DE10444_673	Neisseria meningitidis polysaccharea	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria
CP012541	Campylobacter_concisus_ATCC_33237_595	Campylobacter concisus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria
CP012713	Fusobacterium_nucleatum_subsp_animalis_KCOM_1279_145	Fusobacterium nucleatum subsp animalis	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteria	Fusobacteria
CP012718	Streptococcus_intermedius_KCOM_1545	Streptococcus intermedius constellatus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
CP013908	Streptococcus_agalactiae_GBS-M002_290	Streptococcus agalactiae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
CP014227.A	Capnocytophaga_haemolytica_CCUG_32990_651	Capnocytophaga haemolytica	Capnocytophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteria	Bacteroidetes
CP014227.B	Capnocytophaga_haemolytica_CCUG_32990_658	Capnocytophaga haemolytica	Capnocytophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteria	Bacteroidetes
