sample	subject	run
S1_T1	S1_T1	S1	T1
S1_T2	S1_T2	S1	T2
S1_T3	S1_T3	S1	T3
S1_T4	S1_T4	S1	T4
S1_T5	S1_T5	S1	T5
S1_T6	S1_T6	S1	T6
S2_T1	S2_T1	S2	T1
S2_T2	S2_T2	S2	T2
S2_T3	S2_T3	S2	T3
S2_T4	S2_T4	S2	T4
S2_T5	S2_T5	S2	T5
S2_T6	S2_T6	S2	T6
S3_T1	S3_T1	S3	T1
S3_T2	S3_T2	S3	T2
S3_T3	S3_T3	S3	T3
S3_T4	S3_T4	S3	T4
S3_T5	S3_T5	S3	T5
S3_T6	S3_T6	S3	T6
S4_T1	S4_T1	S4	T1
S4_T2	S4_T2	S4	T2
S4_T3	S4_T3	S4	T3
S4_T4	S4_T4	S4	T4
S4_T5	S4_T5	S4	T5
S4_T6	S4_T6	S4	T6
S5_T1	S5_T1	S5	T1
S5_T2	S5_T2	S5	T2
S5_T3	S5_T3	S5	T3
S5_T4	S5_T4	S5	T4
S5_T5	S5_T5	S5	T5
S5_T6	S5_T6	S5	T6
